Month,n5,n10,SPY
1997-10-31,0.0,0.0,-0.048757078712512114
1997-11-30,0.0,0.0,0.03869660106252559
1997-12-31,0.0,0.0,0.01907126342326615
1998-01-31,-0.07591245858505313,-0.05640657183930231,0.012878353627582051
1998-02-28,0.06078962701402224,0.07190833108389261,0.06929480787347564
1998-03-31,0.07500672624104077,0.012562231105920807,0.04878272056886335
1998-04-30,-0.00969490872633405,-0.026457282572109775,0.012791949341206754
1998-05-31,-0.018596881207814775,-0.007459905639884301,-0.020769771707919937
1998-06-30,0.03096032257801684,0.025436356111345315,0.04257376211259234
1998-07-31,-0.029868006082757637,-0.0244199090593592,-0.013514027870320633
1998-08-31,-0.03184010259981329,-0.048101243767522894,-0.141179515904028
1998-09-30,-0.04589674301437041,-0.024664150653368466,0.06363975228167829
1998-10-31,-0.04787555109709274,-0.026145225250203907,0.08108073549875949
1998-11-30,0.05296868281022249,0.06331350345634967,0.05568188413905806
1998-12-31,0.1516932923966321,0.14551260661330945,0.06542218426186741
1999-01-31,0.07731524549632529,0.11310809353606266,0.035225200857089245
1999-02-28,-0.021208520796830443,0.017479203336007387,-0.03206827436633375
1999-03-31,0.19928378446519712,0.0987667224991664,0.04146774551278454
1999-04-30,0.03172671349396183,-0.0007171928211282541,0.03797479800632342
1999-05-31,-0.08173195690724588,-0.035069421710740345,-0.022865984009256768
1999-06-30,-0.021338181203430562,0.015355921630894054,0.055378409203457046
1999-07-31,-0.05006283534148004,-0.055525750251227746,-0.03102197158197406
1999-08-31,0.04104364361182844,-0.031195880217501637,-0.0051784919813699926
1999-09-30,0.014485062484836053,-0.02183790946093167,-0.022336974017260425
1999-10-31,-0.015526021434829174,-0.02262582471833441,0.06407764823475426
1999-11-30,0.09076090402486736,0.08375523104262173,0.01665170736623245
1999-12-31,0.36834842069851104,0.2395456325751084,0.05710946138207551
2000-01-31,-0.18841090221832413,-0.10614890948725342,-0.049787338740740594
2000-02-29,0.23249752553947323,0.20267994178044502,-0.015225929381922909
2000-03-31,-0.031784113649839574,-0.0016172734772155195,0.0969140125216037
2000-04-30,-0.15891381592244225,-0.16659772113695137,-0.03512083621825135
2000-05-31,-0.1940878432276395,-0.17542479369121666,-0.015722027454094456
2000-06-30,0.008060030555604447,-0.023238969865917003,0.019681268785554096
2000-07-31,-0.0035037827083131967,-0.015474386297901987,-0.01570175944713037
2000-08-31,-0.012710801939844307,0.03462570140467669,0.06534074463854522
2000-09-30,-0.035191079245478596,-0.04600415195345353,-0.05486251799456421
2000-10-31,0.00874206731319016,0.006544229002537039,-0.004678223424113281
2000-11-30,0.0,0.0,-0.07465266260591286
2000-12-31,0.0,0.0,-0.005226556880611799
2001-01-31,0.0,0.0,0.04445884643044029
2001-02-28,0.0,0.0,-0.09538744452554127
2001-03-31,0.0,0.0,-0.056036551722596806
2001-04-30,0.0,0.0,0.0854398565128156
2001-05-31,0.0,0.0,-0.00560564693161425
2001-06-30,0.0,0.0,-0.023829599808529833
2001-07-31,0.0,0.0,-0.010195793317903434
2001-08-31,0.0,0.0,-0.05933224509679147
2001-09-30,0.0,0.0,-0.08163041295333129
2001-10-31,0.0,0.0,0.013020833484983063
2001-11-30,0.0,0.0,0.0779783793952169
2001-12-31,0.0,0.0,0.005638889984623141
2002-01-31,4.2265302850008624e-05,-0.005432879649073241,-0.009799054089914772
2002-02-28,0.0,0.0,-0.01793575816941051
